"Member__r.Name","Challenge__r.Challenge_Id__c","Place__c","Points_Awarded__c","Score__c","Status__c","Submitted_Date__c"
"girideepak600","1117","","0.0","0.0","Registered",""
"rhlsinghal1","1117","","0.0","0.0","Registered",""
"nitin316","1117","","0.0","0.0","Registered",""
"ferozkhan","1117","","0.0","0.0","Registered",""
"samrah","1132","","0.0","0.0","Registered",""
"AhsanAli","1117","","0.0","0.0","Registered",""
"nikhil121213","1117","","0.0","0.0","Registered",""
"nagarajugajula100","1117","","0.0","0.0","Registered",""
"chirag29","1132","","0.0","0.0","Registered",""
"eagle106","1131","","0.0","0.0","Registered",""
"mukesh_singh","1131","","0.0","0.0","Registered",""
"shailymittal","1132","","0.0","25.0","Registered","2011-12-19T14:03:04.000Z"
"jin","1131","","0.0","0.0","Registered",""
"ppandhi","1066","","0.0","0.0","Registered",""
"Parker","1064","","0.0","0.0","Registered",""
"hennekec","1066","","0.0","0.0","Registered",""
"sqrrrl","1066","","0.0","0.0","Registered",""
"emzy","1064","","0.0","0.0","Registered",""
"spraetz","1067","","0.0","0.0","Registered",""
"spraetz","1063","","0.0","0.0","Registered",""
"spraetz","1070","","0.0","0.0","Registered",""
"spraetz","1071","","0.0","0.0","Registered",""
"spraetz","1065","","0.0","0.0","Registered",""
"romanosp","1060","","0.0","0.0","Registered",""
"hammnick","1070","","0.0","0.0","Registered",""
"Ming","1066","","0.0","0.0","Registered",""
"jasonfavors","1075","","0.0","0.0","Registered",""
"yourapexguy","1071","","0.0","0.0","Registered",""
"chintharakesh","1066","","0.0","0.0","Registered",""
"Akhil","1068","","0.0","0.0","Registered",""
"gauravkheterpal","1075","","0.0","0.0","Registered",""
"Sumit","1066","","0.0","0.0","Registered",""
"CoderDennis","1070","","0.0","0.0","Registered",""
"erritikamathur","1075","","0.0","0.0","Registered",""
"swalehji","1065","","0.0","0.0","Registered",""
"swalehji","1071","","0.0","0.0","Registered",""
"swalehji","1064","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"nkhan","1070","1","800.0","90.0","Won","2011-12-19T14:03:00.000Z"
"olivieri","1070","","0.0","0.0","Registered",""
"andyj24","1071","","0.0","0.0","Registered",""
"msb","1060","","0.0","0.0","Registered",""
"msb","1065","","0.0","0.0","Registered",""
"sumitkumar_shingavi","1069","12","0.0","68.0","Lost","2011-12-19T14:03:00.000Z"
"sindujaramaraj","1066","","0.0","0.0","Registered","2011-12-19T14:03:00.000Z"
"ryan","1064","","0.0","0.0","Registered",""
"ngabrani","1070","","0.0","0.0","Registered",""
"msingh","1066","","0.0","0.0","Registered",""
"nabilblk","1076","","0.0","0.0","Registered",""
"AsadMasood","1097","","0.0","0.0","Registered",""
"Nagamanjusha","1103","","0.0","25.0","Registered","2011-12-19T14:03:01.000Z"
"sajo","1106","","0.0","0.0","Registered",""
"romin","1109","1","1500.0","93.0","Won","2011-12-19T14:03:03.000Z"
"Akbar","1097","","0.0","0.0","Registered",""
"umairsabri","1103","","0.0","0.0","Registered",""
"virendrasingh","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"jolliness","1105","","0.0","0.0","Registered",""
"prabhaprofit","1103","","0.0","0.0","Registered",""
"avi4u1988","1103","","0.0","0.0","Registered",""
"Sumit","1103","","0.0","0.0","Registered",""
"rameshkumar","1097","","0.0","0.0","Registered","2011-12-19T14:03:01.000Z"
"karthik_TCS","1105","","0.0","0.0","Registered",""
"karthik_TCS","1103","","0.0","0.0","Registered",""
"Sumit","1097","","0.0","0.0","Registered",""
"NISHITH_LEO","1107","","0.0","0.0","Registered",""
"NISHITH_LEO","1097","","0.0","0.0","Registered",""
"Shibinthomas","1097","","0.0","0.0","Registered",""
